"datasetName","decimalLongitude","decimalLatitude","basisOfRecord","scientificName"
"gbif",151.387159,-23.957125,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.79207,-23.19279,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.051479,-22.133872,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.051836,-22.134144,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.942229,-23.171447,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.949522,-23.189944,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.879273,-23.047204,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.394087,-23.961626,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.049913,-22.132118,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.950921,-23.189366,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.05175,-22.134036,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.054621,-22.135638,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.051575,-22.13393,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94522,-23.19235,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.820038,-23.229538,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.95621,-23.165123,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94698,-23.19128,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.966659,-23.156813,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.956014,-23.165202,"HUMAN_OBSERVATION","Natator depressus"
"gbif",122.3,-18,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.823964,-23.246911,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.828314,-23.261669,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94364,-23.17179,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.77025,-23.0622,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824163,-23.245598,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824578,-23.243133,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.393088,-23.961168,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.056292,-22.13587,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.051425,-22.133667,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.051439,-22.133606,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.32955,-23.89382,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.051748,-22.134181,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94062,-23.19364,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.820769,-23.235351,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.377144,-23.94838,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.052635,-22.134643,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.054969,-22.135706,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.771733,-23.04905,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.772486,-23.018792,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.052724,-22.13478,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.411343,-23.972766,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.051303,-22.133572,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.052594,-22.134609,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.935748,-23.177363,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.820034,-23.23376,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.937454,-23.1742,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.054365,-22.135511,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819157,-23.224419,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.052162,-22.134401,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94875,-23.1722,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.379052,-23.95052,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.050076,-22.132215,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.775806,-22.997267,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.79033,-22.86276,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.943447,-23.193751,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.054829,-22.13563,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824066,-23.245463,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.384914,-23.955434,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.823794,-23.247053,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.792334,-23.190257,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.819236,-23.229579,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.94641,-23.17225,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.818781,-23.226808,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.774642,-23.003525,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.050167,-22.132361,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.82779,-23.26566,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.964484,-23.157134,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.772223,-23.032747,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824094,-23.248292,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.93663,-23.18227,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.8191,-23.224214,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.419454,-23.980136,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.388852,-23.958423,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.885301,-23.076197,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.825115,-23.240887,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.380965,-23.951761,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.764056,-23.14625,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.75172,-23.10803,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.965013,-23.157187,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.824625,-23.242758,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.96494,-23.1573,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.93414,-23.179962,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.765449,-23.150031,"HUMAN_OBSERVATION","Natator depressus"
"gbif",118.6,-20.3,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.823797,-23.249544,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.77207,-23.02782,"HUMAN_OBSERVATION","Natator depressus"
"gbif",151.385591,-23.955972,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.944608,-23.171942,"HUMAN_OBSERVATION","Natator depressus"
"gbif",150.765229,-23.150424,"HUMAN_OBSERVATION","Natator depressus"
